priority,keyword,slug,category,seed,intent,suggested_title,notes,my_experience
1,무주택자 경락잔금대출,no-home-auction-loan,경매 대출·세금,경매 대출,비교형,무주택자 경락잔금대출 조건 | 생애최초 한도·금리·규제 완벽 정리,"금리 우대, 생애최초 세제 혜택, 한도 제한 확인; 흡수: 경매 생애최초 대출 — 생애최초 요건과 일반 무주택자와의 차이를 소제목으로",
12,경매란,what-is-auction,경매 절차,경매 기초,정보형,경매란? | 부동산 경매의 정의·절차·공매와의 차이 완벽 정리,"경매 정의, 법원경매·공매 구분, 절차 개요, 장단점과 주의사항; 실행 절차의 세부사항은 다른 실행형 키워드로 넘김",
2,경매 입찰 방법,court-auction-bidding-guide,경매 절차,경매사이트,실행형,경매 입찰 방법 | 초보자도 따라하는 단계별 가이드,"보증금 계산, 온라인/현장 입찰 차이; 흡수: 경매 입찰 팁 — 입찰표 흔한 실수·동점 시 대응을 소제목/FAQ로",
3,공매 경매 차이,public-sale-vs-court-auction,공매,공매 경매 차이,비교형,공매 vs 경매 차이 한눈에 | 비용·위험·절차 비교표,"낙찰가 기준, 하자담보 면책 여부, 비용 구조 차이",
4,경매 낙찰 후 절차,after-winning-auction-steps,경매 절차,경매사이트,실행형,경매 낙찰 후 해야할 일 | 잔금·명도·등기까지 체크리스트,"잔금 결제 타이밍, 명도 절차 및 비용",
5,경매 낙찰금 계산,auction-total-cost-calc,경매 대출·세금,경매 대출,실행형,경매 낙찰금 계산 | 낙찰가에서 실제 지출액까지 한번에 계산,"낙찰가 외에 드는 비용 항목과 계산 예시(명도·수리 비용은 공식 수치 없으면 항목만); 흡수: 경매 세금 계산 — 취득세 계산을 소제목으로, 양도세는 팔 때 내는 세금이라 FAQ 한 줄",
6,경매 명도 어려운 물건,difficult-eviction-auction-property,권리분석·명도,경매법원,실행형,경매 명도 어려운 물건 | 세입자 문제 해결 방법과 비용 절감 팁,"명도 소송 절차, 강제집행 비용, 미리 확인하는 법",
7,경락잔금대출 조건,auction-loan-requirements,경매 대출·세금,경매 대출,비교형,경락잔금대출 조건 | 은행별 자격요건·서류 비교 가이드,"직업·신용도·대출한도 조건, 은행별 차이; 흡수: 경매 대출 필수조건 — 같은 질문이라 제목·FAQ에 함께",
8,경락잔금대출 금리,auction-loan-interest-rate,경매 대출·세금,경매 대출,비교형,경락잔금대출 금리 비교 | 취급 은행별 금리 현황·우대금리,"고정/변동금리 선택, 우대금리(직업·신용 기준)",
9,경락잔금대출 한도,auction-loan-limit,경매 대출·세금,경매 대출,비교형,경락잔금대출 한도 | 낙찰가 대비 최대 대출액 계산,"LTV/DTI 계산식, 예치금 비율, 추가담보 필요 기준; 흡수: 경락잔금대출 규제 — LTV·DSR 규제가 한도를 정하는 방식을 소제목으로",
10,경매 사이트 추천,auction-site-comparison,경매 절차,경매사이트,비교형,경매 사이트 추천 | 법원경매·경매마당·두인경매 비교,"검색 편의성, 수수료 여부, 사기 사건 조회 기능",
11,법원경매 무료검색,court-auction-free-search,경매 절차,경매사건검색,실행형,법원경매 무료검색 방법 | 대법원 사이트에서 물건 찾기 3단계,"물건 조회, 사건 상태 확인, 낙찰가 예측; 흡수: 법원경매 물건 검색 — 지역·용도·가격 조건으로 물건 찾기를 소제목으로",
13,부동산 경매 절차,real-estate-auction-process,경매 절차,경매사이트,실행형,부동산 경매 절차 | 입찰부터 명도까지 전체 타임라인,"기간별 할일, 각 단계별 주의사항",
15,공매 물건 사이트,public-sale-sites,공매,공매 사이트,비교형,공매 물건 조회 사이트 | 온비드·국세청·관세청 비교 가이드,"각 사이트 물건 특성, 수수료, 낙찰 후 절차",
18,온비드 공매 사용법,onbid-how-to-use,공매,공매 사이트,실행형,온비드 공매 사용법 | 회원가입부터 낙찰까지 완벽 설명,"계정 개설, 입찰 방식, 낙찰 후 유의사항; 흡수: 공매 물건 조회 — 온비드 물건 검색·조회를 소제목으로",
19,경매 명도 절차,auction-eviction-process,권리분석·명도,경매법원,실행형,경매 명도 절차 | 조사·계약·강제집행까지 기간과 비용,"명도 조사 비용, 소송 절차, 강제집행 신청",
21,공매 낙찰 후 유의사항,after-winning-public-sale,공매,공매 사이트,실행형,공매 낙찰 후 해야할 일 | 경매와 다른 점 꼭 확인하기,"하자담보 없음, 즉시 인수, 취득세",
23,경매 권리금 처리,auction-key-money,권리분석·명도,경매법원,실행형,경매 권리금 처리 방법 | 상권 권리금 존재 물건 주의사항,"권리금 구분, 명도 시 분쟁 예방, 법적 책임",
24,공매 신탁사 물건,trust-company-public-sale,공매,공매 사이트,실행형,공매 신탁사 물건 찾기 | 한국자산관리공사 물건 특징·입찰 방법,"신탁사별 특징, 물건 품질, 낙찰 후 절차",
25,공매 압류동산 구매,seized-movables-public-sale,공매,공매 사이트,실행형,공매 압류동산 구매 가이드 | 가전·미술품·차량 낙찰 후 주의사항,"물건 상태 확인, 하자 책임, 운반·사용 문제",
26,자동차 경매 구입,court-car-auction,경매 절차,경매마당,실행형,자동차 경매 구입 방법 | 법원 경매 차량 입찰·낙찰·인수 완벽 정리,"차량 상태 확인법, 하자 책임, 명의이전",
28,경매 성공사례,auction-case-studies,경매 절차,경매사이트,정보형,경매 성공사례 | 초보자들이 얻은 수익률과 실수 사례,"수익 구간별 사례, 실제 어려움과 해결방법",
29,경매가 저렴한 이유,why-auction-prices-lower,경매 절차,경매사이트,정보형,경매가 저렴한 이유 | 시세 대비 30~50% 할인되는 구조,"시장 구조, 위험 요소, 시세와의 차이",
30,경매 우선순위권,auction-priority-rights,권리분석·명도,경매법원,정보형,경매 우선순위권 이해하기 | 채권자 순위·우선매수권·배당순위 완벽 설명,"선순위 채권자 확인, 우선매수권 조사 방법",
